	en	zh
en	English	英文
zh	Chinese	中文
Language	Language	语言
FollowSystem	Follow system	跟随系统
Theme	Theme	主题
ThemeLight	Light	浅色
ThemeDark	Dark	深色
WindowTitle	Jeek Remote Manager	Jeek 远程管理器
RecentGroup	Recent	最近使用
NewFolder	New folder	新建文件夹
NewSsh	New SSH connection	新建 SSH 连接
NewRdp	New RDP connection	新建 RDP 连接
NewWsl	New WSL connection	新建 WSL 连接
Folder	Folder	文件夹
SSH	SSH	SSH
RDP	RDP	RDP
WSL	WSL	WSL
Connect	Connect	连接
ConnectTooltip	Connect (Enter / double-click; hold Ctrl for a new session)	连接（回车 / 双击；按住 Ctrl 新开会话）
ConnectNew	Open new connection	打开新连接
Settings	Settings...	设置...
SettingsTooltip	Choose where Config is stored	选择 Config 保存位置
MoreActions	More actions	更多操作
ToggleConnectionPanel	Collapse or expand the connection panel	收起/展开连接面板
ImportFromFinalShell	Import from FinalShell…	从 FinalShell 导入…
CheckForUpdates	Check for updates…	检查更新…
Copy	Copy	复制
Cut	Cut	剪切
Paste	Paste	粘贴
Rename	Rename	重命名
Delete	Delete	删除
RevealInTree	Reveal in tree	在树中定位
RemoveFromRecent	Remove from recent	从最近列表移除
ClearRecent	Clear recent list	清空最近列表
Connection	Connection	连接
Edit	Edit	编辑
Type	Type	类型
Name	Name	名称
Host	Host	主机
Port	Port	端口
HostWatermark	hostname or IP	主机名或 IP
Username	Username	用户名
Password	Password	密码
Show	Show	显示
SshOptions	SSH options	SSH 选项
TerminalType	Terminal type	终端类型
PrivateKey	Private key	私钥
PrivateKeyWatermark	optional path to key file	可选，私钥文件路径
LoginCommands	Login commands	登录后执行
LoginCommandsWatermark	one command per line; #input waits for manual input; in a duplicated session, #duplicate skips all preceding lines	每行一条命令；#input 等待手工输入；复制会话遇到 #duplicate 时会跳过其前面的所有指令
AutoOpenPanels	Open after login	登录后自动开启
Browse	Browse…	浏览…
WslOptions	WSL options	WSL 选项
WslDistro	Distribution	发行版
WslNoDistros	No WSL distributions detected on this machine.	本机未检测到 WSL 发行版。
WslStartDirectory	Start directory	起始目录
WslStartDirectoryWatermark	empty = home directory (~)	留空 = 用户主目录 (~)
RdpOptions	RDP options	RDP 选项
FullScreen	Full screen	全屏
UseAllMonitors	Use all monitors	使用所有显示器
Width	Width	宽度
Height	Height	高度
LocalResources	Local resources	本地资源
ShareClipboard	Share clipboard	共享剪贴板
ShareDrives	Share drives	共享磁盘
PlayRemoteAudio	Play remote audio here	在本机播放远程音频
ShareMicrophone	Share microphone	共享麦克风
Notes	Notes	备注
AutoSaveHint	Changes are saved automatically.	更改将自动保存。
SelectConnectionHint	Select a connection to edit, or create one from the toolbar.	选择一个连接进行编辑，或在工具栏新建一个。
MultiSelectionHint	{0} items selected. Use the context menu for batch operations.	已选中 {0} 项。可使用右键菜单进行批量操作。
StatusReady	Ready.	就绪。
StatusTargetRoot	Target: root	目标：根目录
StatusTarget	Target: {0}	目标：{0}
StatusBuild	Version {0}	版本 {0}
StatusDevBuild	Dev version	开发版本
StatusCreatedFolder	Created folder '{0}'.	已创建文件夹“{0}”。
StatusCouldNotCreateFolder	Could not create folder: {0}	无法创建文件夹：{0}
StatusCreatedConnection	Created {0} connection.	已创建 {0} 连接。
StatusCouldNotCreateConnection	Could not create connection: {0}	无法创建连接：{0}
StatusLaunchingSshWithClipboard	Launching SSH to {0} — password copied to clipboard (auto-clears in 30s).	正在启动 SSH 到 {0} —— 密码已复制到剪贴板（30 秒后自动清除）。
StatusLaunchingSsh	Launching SSH to {0}.	正在启动 SSH 到 {0}。
StatusLaunching	Launching {0} to {1}.	正在启动 {0} 到 {1}。
StatusFailedToLaunch	Failed to launch: {0}	启动失败：{0}
StatusCouldNotDelete	Could not delete: {0}	无法删除：{0}
StatusDeleted	Deleted {0}.	已删除 {0}。
StatusDeletedMultiple	Deleted {0} items.	已删除 {0} 项。
StatusRenamed	Renamed.	已重命名。
StatusRemovedFromRecent	Removed '{0}' from recent.	已从最近列表移除“{0}”。
StatusRemovedFromRecentMultiple	Removed {0} connections from recent.	已从最近列表移除 {0} 个连接。
StatusRecentCleared	Recent list cleared.	已清空最近列表。
StatusRevealMissing	The original connection is no longer in the tree.	原连接已不在树中。
StatusCouldNotRename	Could not rename: {0}	无法重命名：{0}
StatusCopied	Copied '{0}'.	已复制“{0}”。
StatusCopiedMultiple	Copied {0} items.	已复制 {0} 项。
StatusCut	Cut '{0}'.	已剪切“{0}”。
StatusCutMultiple	Cut {0} items.	已剪切 {0} 项。
StatusPasteIntoSelf	Cannot paste a folder into itself or one of its subfolders.	不能将文件夹粘贴到自身或其子文件夹中。
StatusAlreadyInFolder	Already in this folder.	已经在此文件夹中。
StatusMoved	Moved.	已移动。
StatusMovedMultiple	Moved {0} items.	已移动 {0} 项。
StatusMoveFailed	Move failed: {0}	移动失败：{0}
StatusPasted	Pasted.	已粘贴。
StatusPastedMultiple	Pasted {0} items.	已粘贴 {0} 项。
StatusPasteFailed	Paste failed: {0}	粘贴失败：{0}
StatusClipboardGone	Clipboard item no longer exists.	剪贴板项目已不存在。
StatusAutoSaved	Auto-saved '{0}'.	已自动保存“{0}”。
StatusAutoSaveFailed	Auto-save failed: {0}	自动保存失败：{0}
StatusCheckingUpdates	Checking for updates…	正在检查更新…
StatusUpToDate	You're up to date (build {0}).	已是最新版本（构建 {0}）。
StatusUpdateFailed	Update check failed: {0}	检查更新失败：{0}
StatusUpdatePostponed	Update postponed.	更新已推迟。
StatusUpdateLauncherFail	Could not launch updater.	无法启动更新程序。
StatusImported	Imported {0} connection(s) into {1} new folder(s). Skipped {2}. Passwords cannot be decrypted from FinalShell — fill them in via the editor.	已导入 {0} 个连接到 {1} 个新文件夹中。已跳过 {2} 个。FinalShell 的密码无法解密 —— 请在编辑器中手动填写。
StatusImportFailed	Import failed: {0}	导入失败：{0}
StatusOpenFolderFailed	Cannot open folder: {0}	无法打开文件夹：{0}
StatusNotWritable	That location is not writable: {0}	该位置不可写：{0}
StatusStorageLocationOnly	Config location: {0}. Folder: {1}	Config 位置：{0}。文件夹：{1}
StatusStorageLocationWithData	Config location: {0}. Showing Config at {1}	Config 位置：{0}。Config 位于 {1}
StatusStorageNotSaved	Config location changed, but settings could not be saved to {0}.	Config 位置已更改，但设置无法保存到 {0}。
StatusStorageCopyFailed	Could not move Config data to the new location: {0}	无法移动 Config 数据到新位置：{0}
NewSshDefault	New SSH	新建 SSH
NewRdpDefault	New RDP	新建 RDP
NewWslDefault	New WSL	新建 WSL
NewFolderDefault	New Folder	新建文件夹
UnnamedConnection	Unnamed	未命名
DialogYes	Yes	是
DialogNo	No	否
DialogOk	OK	确定
DialogCancel	Cancel	取消
DialogDeleteTitle	Delete	删除
DialogDeleteFolderPrompt	Delete folder '{0}' and all its contents?	删除文件夹“{0}”及其所有内容？
DialogDeleteConnectionPrompt	Delete connection '{0}'?	删除连接“{0}”？
DialogDeleteMultiplePrompt	Delete {0} selected items?	删除选中的 {0} 项？
DialogRenameTitle	Rename	重命名
DialogRenamePrompt	New name:	新名称：
DialogUpdateAvailableTitle	Update available	发现新版本
DialogUpdateAvailableMessage	A newer build is available (current {0}, latest {1}).\n\nDownload and install now? The app will close and relaunch.	发现新版本（当前 {0}，最新 {1}）。\n\n是否立即下载并安装？应用将关闭并重启。
DialogMoveConfigTitle	Move Config data	移动 Config 数据
DialogMoveConfigMessage	Move existing Config data to the new location?\n\nFrom: {0}\nTo: {1}\n\nChoose No to only change the setting and leave files in their current location.	是否将现有 Config 数据移动到新位置？\n\n源：{0}\n目标：{1}\n\n选择“否”将只修改设置，文件仍保留在当前位置。
DialogSettingsTitle	Settings	设置
DialogStorageQuestion	Where should Config be stored?	Config 应保存在哪里？
StorageUserOption	User directory (roaming)	用户目录（漫游）
StorageProgramOption	Program directory (portable)	程序目录（便携）
StorageCustomOption	Custom directory	自定义目录
StorageCustomNotSet	Not set — click Browse to choose a folder	未设置 —— 点击“浏览”选择文件夹
StorageCustomRequired	Please choose a custom directory.	请选择一个自定义目录。
DialogPickKeyTitle	Select private key	选择私钥
DialogPickFinalShellTitle	Select FinalShell conn directory	选择 FinalShell 连接目录
DialogPickStorageTitle	Select Config location	选择 Config 保存位置
RunScript	Run script	运行脚本
RunScriptShort	Script	脚本
DuplicateSession	Duplicate session	复制会话
DuplicateSessionShort	Duplicate	复制
CopyPublicKeyToServer	Copy public key to server	复制公钥到服务器
DialogCopyPublicKeyTitle	Copy public key	复制公钥
DialogCopyPublicKeyMessage	Install local public key on {1}?\n\nKey: {0}\n\nThis applies to the host configured above — not to servers reached by jumping inside the terminal.	将本地公钥安装到 {1}？\n\n公钥：{0}\n\n此操作作用于上述配置的主机本身，不作用于终端中跳转后的服务器。
StatusNoPublicKey	No local public key found. Generate one with ssh-keygen, or set a private key whose .pub sibling exists.	未找到本地公钥。请用 ssh-keygen 生成，或设置一个存在对应 .pub 文件的私钥。
StatusCopyingPublicKey	Installing public key on {0}…	正在将公钥安装到 {0}…
StatusPublicKeyInstalled	Public key installed on {0}.	公钥已安装到 {0}。
StatusPublicKeyAlreadyPresent	Public key already present on {0}.	{0} 上已存在该公钥。
StatusPublicKeyFailed	Could not install public key: {0}	无法安装公钥：{0}
StatusTerminalConnectionMissing	This connection is no longer in the tree.	该连接已不在树中。
Close	Close	关闭
CopyOutput	Copy output	复制输出
ClearOutput	Clear output	清空输出
ClearParameters	Clear all parameters	清除所有参数
UnnamedScriptBinding	Unnamed script action	未命名脚本动作
StatusNoScripts	No script suite found under script roots: {0}.	未在脚本目录下找到脚本套件：{0}。
StatusScriptOnlySsh	Script actions are only available for SSH and WSL connections.	脚本动作仅适用于 SSH 和 WSL 连接。
StatusScriptAlreadyRunning	A script is already running.	已有脚本正在运行。
StatusChooseScriptSuite	Choose a script suite.	请选择脚本套件。
StatusScriptSuiteOpened	Opened script suite: {0}	已打开脚本套件：{0}
StatusScriptRunning	Running {0} on {1}…	正在 {1} 上运行 {0}…
StatusScriptSucceeded	{0} succeeded.	{0} 执行成功。
StatusScriptFailed	{0} failed with exit code {1}.	{0} 执行失败，退出码 {1}。
StatusScriptLaunchFailed	Script launch failed: {0}	脚本启动失败：{0}
StatusScriptTerminalUnavailable	Could not open an SSH terminal for script execution.	无法打开用于执行脚本的 SSH 终端。
StatusScriptOutputCopied	Script output copied.	已复制脚本输出。
StatusScriptStillRunning	The script is still running.	脚本仍在运行。
StatusScriptParametersCleared	Cleared parameters for {0}.	已清除 {0} 的参数。
StatusMissingScriptBindingsRemoved	Removed {0} missing script binding(s).	已删除 {0} 个已失效的脚本参数绑定。
ScriptExecutionRunning	Running…	正在运行…
ScriptExecutionWaitingTerminal	Waiting for the SSH terminal…	正在等待 SSH 终端…
ScriptExecutionRunningInTerminal	Running in the SSH terminal…	正在 SSH 终端中运行…
ScriptExecutionSucceeded	Succeeded in {0}.	执行成功，用时 {0}。
ScriptExecutionFailed	Failed with exit code {0} after {1}.	执行失败，退出码 {0}，用时 {1}。
ScriptExecutionStartFailed	Failed to start: {0}	启动失败：{0}
ScriptPanelReady	Ready: {0}	就绪：{0}
HasScriptParameters	Has parameters	已有参数
ScriptSourceBuiltIn	Built-in	内置
ScriptSourceUser	Custom	自定义
TrayShow	Show	显示
TrayExit	Exit	退出
MasterSetupTitle	Set master password	设置主密码
MasterSetupPrompt	Set a master password to protect your saved connection passwords. You'll need it when moving your data to another computer, so keep it safe — it cannot be recovered.	设置一个主密码来保护已保存的连接密码。将数据迁移到其他电脑时需要用到，请妥善保管 —— 它无法找回。
MasterChangeTitle	Change master password	修改主密码
MasterChangePrompt	Enter a new master password. Your saved passwords stay encrypted; only the master password changes.	输入新的主密码。已保存的密码仍保持加密，仅主密码本身改变。
MasterNewPassword	Password	密码
MasterConfirmPassword	Confirm password	确认密码
MasterShowPassword	Show password	显示密码
MasterUnlockTitle	Unlock	解锁
MasterUnlockPrompt	Enter your master password to unlock your saved connection passwords.	输入主密码以解锁已保存的连接密码。
MasterRevealPrompt	Enter your master password to reveal the saved password.	输入主密码以显示已保存的密码。
MasterErrorEmpty	Password cannot be empty.	密码不能为空。
MasterErrorMismatch	The two passwords do not match.	两次输入的密码不一致。
MasterErrorWrong	Incorrect master password.	主密码不正确。
